Water_Level_1 (cm),Water_Level_3 (cm),Predicted_Borewell_Depth (cm)
68.90044996623142,195.834712615533,123.43943656487951
103.10448258863309,160.9450670258688,133.56022261646672
98.16989649671021,102.26166569690385,98.65964106841733
144.41533834497415,136.74599307683016,142.05300007439178
155.95828637471658,188.50232040586525,178.46393829047472
122.66378611142666,53.25856392646885,95.38614299020281
155.95198720201466,82.60798511965007,110.39319665301635
73.39119368904284,63.56869524071784,77.68152491145686
52.90446334423402,74.26946436770464,55.06742588826623
99.56112770386396,106.77623644840817,100.41084698084941
195.72220097515708,65.84456178228096,127.94747453186608
81.61921846234483,84.26971385119612,83.85608141740845
131.7058720741536,116.88111607949858,116.62359354020202
192.34078730530283,117.04318876677922,153.16567278011982
93.5177601061338,73.63539498625595,88.92022044518859
51.535097467106766,102.98813949258208,75.01728509931334
91.07861522178477,190.43495563767613,142.1239878023085
99.57846182129062,147.65922790290296,127.76559443434529
136.39539989419234,193.99707631240895,173.20826374600716
163.65937853498627,162.48768092162106,163.7428089786789
148.35990050185478,121.36022182476502,132.08605099029248
136.43744203427772,78.98108121018873,108.67271151540182
128.79788262202234,125.36236935991228,133.00978853562745
149.37912301604044,84.6461491231752,111.00574347962748
150.44164719303797,74.0883486811265,117.47254259495406
167.24672618777373,152.29632347257814,160.3538336838764
170.0760446172143,184.09112601022213,172.7538762594625
95.44010202982417,149.72174089813913,119.44098480630448
171.98394337238614,81.57164531301044,128.7166673760409
183.23559203836894,62.14575548381017,132.44560686290907
98.66371661737512,141.68837997366927,120.22579383552808
65.84745647202398,58.977914415868916,62.2915448916864
80.48189105256863,112.04662533797112,93.83763725556015
63.152646241178935,154.62286529929685,116.89345553743993
142.74410605231827,93.23941325029107,112.30951111018327
186.76498918847372,154.6064416330172,163.72620369001388
86.52086159306558,172.64714964482965,137.013810507449
182.07198994186388,62.15413873881398,119.00461587272666
188.58673924947618,102.63567551543483,150.99530691794263
161.8669004268881,175.11296230423648,162.00077034998685
146.38162064393805,80.42462243294047,117.14337804844095
172.2619921488916,67.64100700397327,114.0484695634955
62.12615350033904,148.10433386518207,110.56688735219848
110.99992353425347,122.66426189688767,120.5219218525501
167.3849358749254,137.94924424798475,144.15858955421052
97.83204691516079,159.6283009043874,138.70865218088466
87.4905255833801,188.41101758735172,135.90575429613247
190.2158487724485,141.56984016637,158.0484190369757
64.46313683937714,57.83116082596217,68.13296379729506
120.248753096105,198.5194600047849,166.84945856604597
189.90624675219948,142.65515261287484,156.46482362412502
162.69599980962855,88.54801584020635,120.34390146088965
66.04360869206592,98.4954135725819,79.55949216351318
186.91086413173477,112.47895694907317,140.57611276498878
140.49069688077242,108.37490107773661,125.94588457866932
157.6514723089315,137.46956252794612,149.3249232705305
162.86608278794688,158.47752356195983,163.0397304833056
60.918256065505965,68.91548966672985,60.18741087332974
76.52455074521448,136.2325627217316,111.96605484587445
195.13331214331382,141.64976255900223,159.02018010824915
99.58951438671602,194.0950809382178,156.59644109028312
96.64898414317591,123.75076425646895,117.39435194877397
84.16107927982983,180.7803232309207,128.63100560605395
155.29090287685148,185.1428205491249,163.2007393621741
95.12393150974654,161.42127778174967,122.06477224046544
55.84901037371022,163.85160419655784,111.37338368411494
133.89054179540128,152.64447573718402,146.56110237575794
95.96547595809207,103.08164840587042,107.22860964203159
113.64256789066216,177.16550353048405,144.9191331889396
194.4751437830027,112.86459932206517,158.06393384337937
111.81206982394096,107.4823657265193,108.78764320009806
194.3309704965417,135.51106969239294,170.0066980186449
119.19584218988079,167.8713896515867,151.37658655921848
59.68934973211589,75.55192048119113,73.5825860776406
53.36066735335179,146.08035356067512,103.94903551075491
109.7508146090532,56.738020042307994,81.3654052809993
98.23258915846323,188.06743994642358,145.2282621019028
77.69486438121109,141.65696559639423,118.25058047075841
189.64395197668637,161.1567090564468,182.13415247242517
163.36572572698716,67.7415419806864,115.92840967245488
99.00527799728586,85.87050121274919,91.31253818759839
50.91502501160017,129.11663538466115,99.30350174512559
136.73254774249318,115.38190274509093,122.90539251657562
167.05334825882,162.62564110993742,173.22441226269635
121.6889358898391,166.63802882056746,140.23132390800512
173.9086612280981,80.49775061609012,124.56119453376131
150.379305572566,71.8324867105857,111.04470373519193
124.38038332858848,70.2485797004708,90.06719774542753
93.1531819432939,161.23933711034752,117.90035877962166
167.94815053983865,55.32725546805128,110.93381404963986
104.8555597712199,148.43390694525306,133.25412845719518
122.8989874820137,61.910553424521346,83.15115202950915
68.38243706454762,77.31116157523924,73.62948071445885
77.6560266860853,102.53437184929905,81.62438695843663
82.5728932351163,199.29934685123786,147.05867165122487
144.0700895698472,110.63657707648298,118.16328525201905
176.06534071111082,143.81595499546262,157.59163398974707
157.55387685265524,168.48949403351344,170.3441437234572
83.21075155938905,175.49262239261824,130.13089108953764
80.17401455416903,122.65833487824366,93.62116289043755
